photo_id,site,depth,net,preservation_method,family,subgroup,standard_length,caudal_fin_length,stage,damaged,not_calibrated
EZ03_2_F_005_SER,3,50,2,formalin,serranid,F,2.64,0,PRE,,
EZ03_2_F_005_SER,3,50,2,formalin,serranid,B,4.48,0.29,FLE,,
EZ03_3_E_001_MUL,3,100,3,ethanol,mullid,A,12.76,2.42,POS,,
EZ03_3_E_002_SER,3,100,3,ethanol,serranid,B,4.4,0.34,FLE,,
EZ03_3_E_002_SER,3,100,3,ethanol,serranid,B,4.17,0.16,FLE,,
EZ03_3_E_002_SER,3,100,3,ethanol,serranid,B,4.46,0.2,FLE,,
EZ03_3_E_002_SER,3,100,3,ethanol,serranid,B,4.18,0.42,FLE,,
EZ03_3_E_002_SER,3,100,3,ethanol,serranid,H,3.96,0.34,FLE,,
EZ03_3_E_002_SER,3,100,3,ethanol,serranid,B,4.04,0,PRE,,
EZ03_3_E_003_POM,3,100,3,ethanol,pomacentrid,D,5.8,0.53,FLE,,
EZ03_3_E_003_POM,3,100,3,ethanol,pomacentrid,D,5.11,0.59,FLE,,
EZ03_3_E_004_TRI,3,100,3,ethanol,triglid,A,3.75,0,FLE,,
EZ03_3_F_001_POM,3,100,3,formalin,pomacentrid,A,3.76,0.65,FLE,,
EZ03_3_F_002_SCO,3,100,3,formalin,scorpaenid,A,2.25,0,PRE,,
EZ03_3_F_003_LAB,3,100,3,formalin,labrid,I,3.84,0,PRE,,
EZ03_3_F_003_LAB,3,100,3,formalin,labrid,I,3.94,0.22,FLE,,
EZ03_3_F_003_LAB,3,100,3,formalin,labrid,I,3.7,0.2,FLE,,
EZ03_3_F_003_LAB,3,100,3,formalin,labrid,B,3.43,0.27,FLE,,
EZ03_3_F_003_LAB,3,100,3,formalin,labrid,B,6.94,1.3,FLE,,
EZ03_3_F_004_LAB,3,100,3,formalin,labrid,I,4.47,0.33,FLE,,
EZ03_3_F_004_LAB,3,100,3,formalin,labrid,I,2.67,0,PRE,,
EZ03_3_F_004_LAB,3,100,3,formalin,labrid,I,3.5,0,PRE,,
EZ03_3_F_004_LAB,3,100,3,formalin,labrid,I,3.19,0,PRE,,
EZ03_3_F_004_LAB,3,100,3,formalin,labrid,I,4.11,0.3,FLE,,
EZ03_3_F_004_LAB,3,100,3,formalin,labrid,I,3.11,0,PRE,,
EZ03_3_F_005_LAB,3,100,3,formalin,labrid,B,3.62,0.3,FLE,,
EZ03_3_F_005_LAB,3,100,3,formalin,labrid,I,3.65,0.21,FLE,,
EZ03_3_F_005_LAB,3,100,3,formalin,labrid,B,3.33,0,PRE,,
EZ03_3_F_005_LAB,3,100,3,formalin,labrid,B,4.03,0.15,FLE,,
EZ03_3_F_006_SER,3,100,3,formalin,serranid,B,3.1,0,PRE,,
EZ03_3_F_006_SER,3,100,3,formalin,serranid,B,2.8,0,PRE,,
EZ03_3_F_006_SER,3,100,3,formalin,serranid,F,3.02,0,PRE,,
EZ03_3_F_006_SER,3,100,3,formalin,serranid,F,2.68,0,PRE,,
EZ03_3_F_006_SER,3,100,3,formalin,serranid,F,4.5,0.16,FLE,,
EZ03_3_F_006_SER,3,100,3,formalin,serranid,F,3.16,0,PRE,,
EZ03_3_F_007_SER,3,100,3,formalin,serranid,F,2.52,0,PRE,,
EZ03_3_F_007_SER,3,100,3,formalin,serranid,F,2.77,0,PRE,,
EZ03_3_F_007_SER,3,100,3,formalin,serranid,F,2.17,0,PRE,,
EZ03_3_F_007_SER,3,100,3,formalin,serranid,F,2.57,0,PRE,,
EZ03_3_F_007_SER,3,100,3,formalin,serranid,F,2.87,0,PRE,,
EZ03_3_F_007_SER,3,100,3,formalin,serranid,F,2.49,0,PRE,,
EZ03_4_F_001_MUL,3,50,4,formalin,mullid,A,7.93,1.29,POS,,
EZ03_4_F_001_MUL,3,50,4,formalin,mullid,A,3.62,0,PRE,,
EZ03_4_F_001_MUL,3,50,4,formalin,mullid,A,4.93,0.71,FLE,,
EZ03_4_F_001_MUL,3,50,4,formalin,mullid,A,4,0,PRE,,
