Order,Family,Species,Occurrence,FishBase name,Name
Perciformes,Labridae,Notolabrus fucicola,native ,Yellow-saddled wrasse ,Purple wrasse 
Perciformes,Labridae,Notolabrus gymnogenis,native ,Crimsonband wrasse ,Crimsonband wrasse 
Perciformes,Labridae,Notolabrus inscriptus,native ,Inscribed wrasse ,Inscribed wrasse 
Perciformes,Labridae,Notolabrus tetricus,native ,Blue-throated wrasse ,Bluethroat wrasse 
Perciformes,Labridae,Novaculoides macrolepidotus,native ,Seagrass wrasse ,
Perciformes,Labridae,Novaculops pastellus,native ,Lord Howe sandy ,Lord Howe sandy 
Perciformes,Labridae,Oxycheilinus bimaculatus,native ,Two-spot wrasse ,Little maori wrasse 
Perciformes,Labridae,Oxycheilinus nigromarginatus,native ,Blackmargin maori wrasse ,Blackmargin maori wrasse 
Perciformes,Labridae,Pictilabrus laticlavius,native ,Patrician wrasse ,Purple-banded wrasse 
Perciformes,Labridae,Pseudocoris heteroptera,native ,Torpedo wrasse ,Zebra wrasse 
Perciformes,Labridae,Pseudocoris yamashiroi,native ,Redspot wrasse ,Japanese wrasse 
